found_folder,file_name,chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode
,,,,1,371,,,,שופרסל שלי,שלי ברניצקי,נתן ברניצקי 13,ראשון לציון,
,,,,6,496,,,,יש חסד,יש חסד כנפי נשרים,כנפי נשרים 24,ירושלים,
,,,,,611,,,,,יש חסד בני ברק- השומר,השומר 10,בני ברק,5137705
,,,,5,659,,,,Be,BE  הדר,הדר חיפה,חיפה,
,,,,1,193,,,,שופרסל שלי,"שלי ראשל""צ- מזרח",שד' יעקב 50,ראשון לציון,7550903
,,,,2,229,,,,שופרסל דיל,"דיל ת""א- יגאל אלון",יגאל אלון 76,תל אביב,6706701
,,,,1,230,,,,שופרסל שלי,"שלי כ""ס- ויצמן",ויצמן 29,כפר סבא,4435227
,,,,5,252,,,,Be,BE עין שמר,,עין שמר,
,,,,1,262,,,,שופרסל שלי,שלי מזכרת בתיה- בגין,שד' מנחם בגין 2,מזכרת בתיה,7680400
,,,,,271,,,,,שלי רחובות- יעקובי,פנחס יעקובי 1,רחובות,
,,,,,278,,,,,"שלי פ""ת -העצמאות",העצמאות 65,פתח תקוה,4937999
,,,,,326,,,,,שלי נהריה- הגעתון,רח.הרצל-שד.הגעתו,נהריה,2240029
,,,,,343,,,,,שלי ראש העין- ברקן,בזק 1 פינת ברקן,ראש העין,4863016
,,,,2,248,,,,שופרסל דיל,"דיל ב""ש- נווה מנחם",החשמונאים 15,באר שבע,8452015
,,,,5,672,,,,Be,סניף אשדוד סיטי,מנחם בגין פינת שדרות הרצל,אשדוד,
,,,,1,374,,,,שופרסל שלי,שלי הרצליה- הבנים,הבנים 46,הרצליה,4637948
,,,,7,380,,,,שופרסל אקספרס,"אקספרס ת""א- מרמורק",מרמורק 10,תל אביב-יפו,
,,,,5,621,,,,Be,BE סינמה סיטי נתניה,"מתחם סינמה סיטי , רחוב המחקר",נתניה,
,,,,,649,,,,,BE עכו,עכו,עכו,
,,,,,656,,,,,סניף בן יהודה,בן יהודה 75,תל אביב,
,,,,,677,,,,,BE הרצליה,בן גוריון 19,הרצליה,
,,,,,679,,,,,BE כרכור מדיקל,הגליל 17,כרכור,
,,,,,688,,,,,"BE  מדיקל-בלינסון פ""ת","בלינסון פ""ת",פתח תקווה,
,,,,,201,,,,,BE בריגה,שושנה דמארי 10,נתניה,
,,,,2,226,,,,שופרסל דיל,דיל כרמיאל,ההגנה 2,כרמיאל,
,,,,,281,,,,,דיל מגדל העמק- המדע,שד' מדע 77,מגדל העמק,
,,,,6,295,,,,יש חסד,יש חסד בני ברק-שלמה המלך,שלמה המלך   12,בני ברק,5155205
,,,,18,773,,,,יש Good,GOOD MARKET אהבת שלום בית שמש,אהבת שלום 9,בית שמש,
,,,,1,42,,,,שופרסל שלי,שלי ירושלים- ניות,בורלא 1 שכ.ניות,ירושלים,9371401
,,,,,57,,,,,שלי רמת השרון- אוסישקין,אוסישקין 5,רמת השרון,4721005
,,,,,80,,,,,"שלי ראשל""צ- נווה הדרים",ברנשטיין 2,ראשון לציון,7550302
,,,,2,92,,,,שופרסל דיל,דיל אשדוד- שבט לוי,שבט לוי 12,אשדוד,
,,,,,95,,,,,דיל חדרה- קניון אורות,1ניון אורות,אור עקיבא,3060000
,,,,1,101,,,,שופרסל שלי,שלי הוד השרון- ק מרגלית,נחליאלי 2,הוד השרון,4535502
,,,,,302,,,,,שלי חיפה- קלר,קלר 7,חיפה,3448314
,,,,7,305,,,,שופרסל אקספרס,"אקספרס ת""א- יהודה המכבי",יהודה מכבי81,תל אביב-יפו,
,,,,,341,,,,,"אקספרס רמת גן- הרוא""ה","הרוא""ה 131",רמת גן,
,,,,,347,,,,,אקספרס גדרה- דרך הפרחים,דרך הפרחים 38,גדרה,
,,,,,385,,,,,אקספרס מאיר יערי תל אביב,מאיר יערי 19,תל אביב,
,,,,5,631,,,,Be,סניף וולפסון,הלוחמים 62,חולון,
,,,,,651,,,,,BE דרורים,"קניון דרורים , בני דרור",בני דרור,
,,,,,437,,,,,BE אייס מול אילת,קאמפן 8,אילת,
,,,,2,208,,,,שופרסל דיל,דיל אילת נחל אורה,ירושלים השלמה 52,,
,,,,7,334,,,,שופרסל אקספרס,"אקספרס פ""ת - שפירא","קק""ל 35",פתח תקווה,
,,,,,368,,,,,אקספרס-נשר מרגנית,נשר המרגנית 1,חיפה,
,,,,5,664,,,,Be,BE בית חולים שערי צדק ירושלים,שערי צדק י-ם,ירושלים,
,,,,,696,,,,,BE מדיקל-אלעד,אלעד,אלעד,
,,,,,784,,,,,BE כפר גנים,מרכז מסחרי כפר גנים,פתח תקווה,
,,,,1,34,,,,שופרסל שלי,שלי רמת השרון- סוקולוב,סוקולוב 48,רמת-השרון,4723514
,,,,,38,,,,,שלי חיפה- דניה,ליבריה 2 דניה,חיפה,3491370
,,,,2,49,,,,שופרסל דיל,"דיל ב""ש- הר בוקר",הר בוקר  17,באר שבע,8489819
,,,,1,70,,,,שופרסל שלי,שלי רמת גן- מרום נווה,"תרצה 19 ר""ג",רמת-גן,5236431
,,,,6,81,,,,יש חסד,יש חסד מודיעין עלית דרום,שערי תשובה 3,מודיעין עילית,
,,,,1,93,,,,שופרסל שלי,שלי יהוד- סביונים,דרך משה דיין 7,יהוד,5645001
,,,,6,133,,,,יש חסד,"יש חסד ביתר עילית-  הר""ן","הר""ן 6 פינת פנים המאירים",ביתר עילית,9056506
,,,,5,695,,,,Be,BE  אסותא רמת החייל,אסותא רמת החייל,תלאביב,
,,,,,782,,,,,BE ראשון לציון,לחי 2,ראשון לציון,
,,,,1,50,,,,שופרסל שלי,שלי מבשרת ציון,שלום 75 שכונה ג,מבשרת ציון,9071425
,,,,,69,,,,,"שלי ת""א- רמת אביב ב",טאגור 38,תל אביב,6920340
,,,,7,82,,,,שופרסל אקספרס,אקספרס חולון,שמריהו לוין 2,חולון,
,,,,2,96,,,,שופרסל דיל,דיל חדרה- הפרדס,קניון גני הדרים,חדרה,3849207
,,,,,97,,,,,דיל קרית שמונה- מתחם ביג,מתחם ביג,קרית שמונה,1162401
,,,,1,103,,,,שופרסל שלי,שלי שוהם- מרכז מסחרי,מרכז מסחרי,שוהם,6083530
,,,,,116,,,,,שלי גבעתיים- מכתש,בורוכוב 54,גבעתיים,5322205
,,,,2,118,,,,שופרסל דיל,דיל אילת  הסתת,הסתת 15 א תעשיה,אילת,8850415
,,,,7,131,,,,שופרסל אקספרס,אקספרס הוד השרון,סוקולוב 37,הוד השרון,
,,,,2,153,,,,שופרסל דיל,דיל אופקים- ז'בוטינסקי,זבוטינסקי 25,אופקים,8759908
,,,,,184,,,,,"דיל ראשל""צ- זבוטינסקי",זבוטינסקי 16,ראשון לציון,
,,,,5,673,,,,Be,BE 59 פנורמה חיפה,פנורמה חיפה,חיפה,
,,,,,685,,,,,BE  אזורי חן,אליהו ברלין 13,תל אביב,
,,,,,698,,,,,BE כרמיאל,קניון חוצות כרמיאל,כרמיאל,
,,,,18,778,,,,יש Good,GOOD MARKET אהליאב ירושלים,אהליאב 21,ירושלים,2420531
,,,,7,844,,,,שופרסל אקספרס,אקספרס נגבה רמת גן,נגבה 8,רמת גן,
,,,,1,36,,,,שופרסל שלי,"שלי כ""ס- רוטשילד",רוטשילד 65,כפר-סבא,4420131
,,,,7,61,,,,שופרסל אקספרס,אקספרס צור משה,הערבה,צור משה,
,,,,1,72,,,,שופרסל שלי,שלי רעות,חבל מודיעין,רעות,71908
,,,,2,83,,,,שופרסל דיל,"דיל ב""ש- שאול המלך",קניון שאול המלך,באר-שבע,8446811
,,,,,87,,,,,דיל רעננה- החרושת,החרושת 8,רעננה,4365704
,,,,7,90,,,,שופרסל אקספרס,אקספרס גב ים באר שבע,האנרגיה 77,באר שבע,
,,,,1,104,,,,שופרסל שלי,"שלי פ""ת- גד מכנס",רוטשילד 180,פתח תקווה,9435700
,,,,2,105,,,,שופרסל דיל,"דיל פ""ת- אליעזר פרדימן",אליעזר פרידמן 9,פתח תקוה,4941916
,,,,6,111,,,,יש חסד,יש חסד טבריה עלית-לב האג,לב האגם 10,טבריה,14431
,,,,2,122,,,,שופרסל דיל,דיל יבנה- ברוש דרךהים,דרך הים 3,יבנה,8157014
,,,,7,127,,,,שופרסל אקספרס,אקספרס טירת הכרמל,הדולפין 1,טירת הכרמל,
,,,,2,130,,,,שופרסל דיל,דיל נתניה- קלאוזנר עמליה,קלאוזנר 1,נתניה,
,,,,,152,,,,,דיל ערד- ישפרו המנוף,המנוף 7,ערד,8909460
,,,,,177,,,,,דיל מצפה רמון- בן גוריון,מרכז מסחרי,מצפה-רמון,8060000
,,,,,181,,,,,דיל אשקלון- רמז,דוד רמז 39,אשקלון,7853339
,,,,7,186,,,,שופרסל אקספרס,אקספרס התשבי,התשבי 9,חיפה,
,,,,1,212,,,,שופרסל שלי,שלי חיפה- ורדיה,ורדיה 10,,3465710
,,,,7,388,,,,שופרסל אקספרס,אקספרס דניה,חיים הזז 5,,
,,,,,393,,,,,אקספרס להבים באר שבע,שדרות הרימון,באר שבע,
,,,,,263,,,,,שופרסל אקספרס מקס ברוד,רח' מקס ברוד 34,תל אביב,
,,,,,274,,,,,"אקספרס ת""א- פלורנטין",פלורנטין 27,,
,,,,2,282,,,,שופרסל דיל,דיל צומת גבעת מרדכי,"רח' שחר 79, ירושלים.",ירושלים,7692000
,,,,7,296,,,,שופרסל אקספרס,"אקספרס פ""ת רחל המשוררת",רחל המשוררת 29,פתח תקוה,
,,,,1,310,,,,שופרסל שלי,שלי קרית חיים- דגניה,ד.דגניה 14,קרית חיים,2621019
